City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
235,udachny,66.4167,112.4,-10.86,85,7,1.38,RU,1697314795
236,formosa,-26.1775,-58.1781,28.87,39,0,3.6,AR,1697314668
237,yungay,-9.1383,-77.7436,17.95,73,100,1.59,PE,1697314795
238,garoua boulai,5.8833,14.55,18.58,98,100,2.43,CM,1697314795
239,springs,-26.25,28.4,20.7,46,58,1.42,ZA,1697314795
240,remire-montjoly,4.9167,-52.2667,30.02,66,0,4.63,GF,1697314796
241,tecpan de galeana,17.25,-100.6833,29.94,76,77,2.48,MX,1697314796
242,panama city beach,30.1766,-85.8055,27.22,77,0,3.58,US,1697314227
243,kone,-21.0595,164.8658,23.17,83,36,1.77,NC,1697314796
244,kavaratti,10.5669,72.642,26.94,82,86,8.06,IN,1697314797
245,mermoz boabab,14.7065,-17.4758,28.88,84,40,2.06,SN,1697314797
246,la passe,45.5549,-0.8967,15.55,60,14,3.84,FR,1697314797
247,fuling,29.7022,107.3919,17.45,86,78,0.83,CN,1697314797
248,coquimbo,-29.9533,-71.3436,15.85,72,0,6.17,CL,1697314696
249,ambovombe,-25.1667,46.0833,22.96,83,75,0.53,MG,1697314797
250,mhamid,29.82,-5.72,25.86,22,19,1.44,MA,1697314798
251,katsuren-haebaru,26.3369,127.8719,25.43,71,20,3.09,JP,1697314798
252,crane,31.3974,-102.3501,22.09,25,0,4.04,US,1697314798
253,okhotsk,59.3833,143.3,2.29,76,100,4.11,RU,1697314785
254,kolwezi,-10.7148,25.4667,18.43,81,88,2.98,CD,1697314799
255,tselinnoye,53.0833,85.6667,6.06,81,100,4.49,RU,1697314799
256,pointe aux piments,-20.0628,57.5131,20.85,69,10,4.11,MU,1697314799
257,buala,-8.145,159.5921,26.91,85,99,2.97,SB,1697314799
258,kuching,1.55,110.3333,27.79,94,40,1.54,MY,1697314800
259,chegdomyn,51.1167,133.0167,7.96,80,6,2.68,RU,1697314800
260,zheleznodorozhnyy,55.7503,38.0042,14.23,96,35,5.81,RU,1697314800
261,petauke,-14.2426,31.3253,29.99,19,70,2.15,ZM,1697314801
262,sandnessjoen,66.0217,12.6316,2.29,69,100,13.63,NO,1697314801
263,aykhal,66.0,111.5,-11.07,92,52,0.89,RU,1697314801
264,floro,61.5996,5.0328,8.98,61,20,13.38,NO,1697314801
265,inirida,3.8653,-67.9239,29.8,68,100,0.98,CO,1697314802
266,pariaman,-0.619,100.12,24.35,89,74,1.31,ID,1697314802
267,aginskoye,51.1,114.53,-0.8,71,3,3.71,RU,1697314802
268,sao jose da coroa grande,-8.8978,-35.1478,26.12,72,100,4.54,BR,1697314802
269,carauari,-4.8828,-66.8958,34.35,44,81,0.56,BR,1697314802
270,cruzeiro do sul,-29.5128,-51.9853,24.16,61,3,3.18,BR,1697314803
271,tuy hoa,13.0833,109.3,24.93,90,100,0.92,VN,1697314803
272,gokceada,40.2011,25.909,14.6,67,0,4.49,TR,1697314803
273,i-n-salah,27.1935,2.4607,29.09,18,2,4.61,DZ,1697314803
274,gwadar,25.1216,62.3254,26.6,85,0,4.18,PK,1697314804
275,altamira,-3.2033,-52.2064,32.05,62,20,0.0,BR,1697314804
276,hamilton,39.1834,-84.5333,14.49,89,100,6.69,US,1697314656
277,dolinsk,47.35,142.8,4.84,93,0,1.58,RU,1697314804
278,antofagasta,-23.65,-70.4,18.35,69,14,3.89,CL,1697314326
279,vernon,50.2581,-119.2691,13.34,71,37,2.06,CA,1697314805
280,santo antonio do leverger,-15.8656,-56.0767,36.21,29,92,3.45,BR,1697314805
281,cestos city,5.46,-9.5828,25.98,87,100,2.67,LR,1697314805
282,bakchar,57.0186,82.0711,5.19,83,100,3.61,RU,1697314805
283,haiku-pauwela,20.9219,-156.3051,27.87,69,20,5.14,US,1697314806
284,salym,60.0625,71.4789,4.39,85,100,3.98,RU,1697314806
285,kupang,-10.1667,123.5833,24.32,69,68,1.54,ID,1697314521
286,gargalianoi,37.0667,21.6333,19.64,79,87,2.48,GR,1697314807
287,la sarre,48.8002,-79.1996,7.75,86,100,4.79,CA,1697314807
288,xilin hot,43.9667,116.0333,2.69,46,6,2.4,CN,1697314807
289,yuanping,38.7153,112.7575,10.85,31,0,0.87,CN,1697314807
290,la ligua,-32.4524,-71.2311,21.15,43,9,3.67,CL,1697314808
291,bathsheba,13.2167,-59.5167,30.34,70,20,4.12,BB,1697314808
292,samut prakan,13.5,100.45,29.02,85,100,2.96,TH,1697314808
293,tokat,40.4167,36.5833,9.69,45,9,1.19,TR,1697314809
294,al hamul,31.3115,31.1477,22.56,61,56,2.59,EG,1697314809
295,kapit,2.0167,112.9333,22.99,100,100,0.56,MY,1697314809
296,harper,4.375,-7.7169,25.68,88,100,3.15,LR,1697314809
297,bac lieu,9.285,105.7244,25.7,91,100,3.29,VN,1697314809
298,massawa,15.6097,39.45,32.13,54,86,0.82,ER,1697314810
299,smithers,54.7804,-127.1743,15.18,55,75,3.6,CA,1697314810
300,pico truncado,-46.7949,-67.9573,18.3,26,4,5.52,AR,1697314810
301,la mira,18.035,-102.3266,29.99,73,65,3.52,MX,1697314811
302,tamanrasset,22.785,5.5228,22.95,28,40,2.06,DZ,1697314811
303,higuera de zaragoza,25.95,-109.2833,31.96,55,13,4.97,MX,1697314811
304,golere,16.2557,-14.1017,36.99,18,100,3.29,SN,1697314811
305,daru,-9.0763,143.2092,24.91,88,97,5.62,PG,1697314811
306,kiffa,16.6166,-11.4045,36.33,11,93,4.69,MR,1697314812
307,sao pedro do sul,-29.6206,-54.1789,20.64,73,0,4.61,BR,1697314812
308,lihue,21.9789,-159.3672,27.58,79,100,3.6,US,1697314812
309,alesund,62.4723,6.1549,10.97,70,75,7.2,NO,1697314813
310,arauca,7.0847,-70.7591,31.98,62,40,1.03,CO,1697314814
311,inari,68.906,27.0288,-0.89,97,100,6.49,FI,1697314814
312,trondheim,63.4305,10.3951,6.07,91,100,2.68,NO,1697314795
313,vryheid,-27.7695,30.7917,12.31,83,63,1.78,ZA,1697314814
314,serhetabat,35.2799,62.3438,10.6,48,6,1.41,TM,1697314815
315,aleksandrovsk,59.158,57.5624,2.11,94,44,2.24,RU,1697314815
316,floresta,-8.6011,-38.5686,35.31,26,95,8.42,BR,1697314815
317,gracanica,44.7033,18.3097,12.25,62,1,1.44,BA,1697314815
318,odessa,46.4775,30.7326,16.38,81,5,5.26,UA,1697314609
319,huarmey,-10.0681,-78.1522,22.12,75,63,5.31,PE,1697314816
320,nouadhibou,20.931,-17.0347,27.99,69,2,5.66,MR,1697314817
321,swakopmund,-22.6833,14.5333,14.43,85,0,0.89,NA,1697314817
322,dubbo,-32.25,148.6167,9.07,81,0,1.54,AU,1697314661
323,red hill,33.9996,-79.2581,21.92,70,89,6.03,US,1697314817
324,san juanito,28.0,-107.5833,23.89,26,4,4.11,MX,1697314817
325,corralillo,22.9819,-80.5856,32.03,53,50,5.13,CU,1697314818
326,cacu,-18.5567,-51.1308,33.84,40,92,1.99,BR,1697314626
327,hotan,37.0997,79.9269,14.13,28,87,2.65,CN,1697314818
328,sars,56.5502,57.1366,2.0,87,68,2.78,RU,1697314818
329,kamina,-8.7386,24.9906,20.05,87,82,1.63,CD,1697314819
330,constantia,44.1833,28.65,14.38,82,0,5.16,RO,1697314819
331,hilo,19.7297,-155.09,27.92,73,40,3.6,US,1697314819
332,ghat,24.9647,10.1728,26.65,22,2,2.66,LY,1697314820
333,oulad teima,30.3947,-9.209,25.6,32,100,1.73,MA,1697314820
334,puerto baquerizo moreno,-0.9,-89.6,27.55,69,40,5.14,EC,1697314820
335,namsos,64.4662,11.4957,8.03,70,100,2.06,NO,1697314552
336,carbonear,47.7332,-53.2148,12.57,96,100,5.45,CA,1697314820
337,beihai,21.4833,109.1,21.91,76,53,5.9,CN,1697314821
338,kapa'a,22.0752,-159.319,27.99,79,100,3.6,US,1697314821
339,kabin buri,13.9511,101.7177,25.28,87,100,1.27,TH,1697314821
340,nevel'sk,46.6733,141.8633,8.45,74,39,3.09,RU,1697314821
341,enoch,37.7733,-113.0244,20.26,24,0,0.45,US,1697314821
342,zhezqazghan,47.7833,67.7667,6.89,60,41,4.46,KZ,1697314822
343,sapele,5.8941,5.6767,25.29,96,100,1.58,NG,1697314822
344,qamdo,31.1667,97.2333,-2.08,60,23,0.72,CN,1697314822
345,chibougamau,49.9168,-74.3659,7.79,87,75,3.6,CA,1697314822
346,uribia,11.7139,-72.266,31.83,63,91,4.08,CO,1697314822
347,cova figueira,14.8905,-24.2934,25.65,78,99,4.03,CV,1697314823
348,san pedro,14.35,121.0167,27.37,86,20,2.68,PH,1697314823
349,isanlu-itedoijowa,8.2667,5.8333,25.55,83,89,1.17,NG,1697314823
350,jakobstad,63.6749,22.7026,6.07,85,93,7.52,FI,1697314823
351,qui nhon,13.7667,109.2333,25.84,86,100,2.32,VN,1697314824
352,lae,-6.7221,146.9847,23.37,91,65,2.45,PG,1697314824
353,mount isa,-20.7333,139.5,19.87,19,6,4.63,AU,1697314824
354,salahonda,2.1019,-78.7217,25.72,86,100,1.87,CO,1697314824
355,minas de marcona,-15.2119,-75.1103,19.05,59,63,6.32,PE,1697314665
356,itoman,26.1247,127.6694,25.43,69,20,5.14,JP,1697314825
357,devgarh,25.5333,73.9,24.29,46,0,2.69,IN,1697314825
358,sayan,-11.1361,-77.1933,26.24,52,100,4.32,PE,1697314825
359,olinda,-8.0089,-34.8553,27.85,69,75,5.66,BR,1697314759
360,ninotsminda,41.2646,43.5916,6.19,66,0,2.84,GE,1697314826
361,arua,3.0201,30.9111,19.65,80,94,2.0,UG,1697314826
362,lander,42.833,-108.7307,12.33,65,75,0.0,US,1697314556
363,irbit,57.6705,63.071,4.89,72,57,4.38,RU,1697314826
